Season,Date,Home,Away,URL
2023/2024,21-01-2024,Bournemouth,Liverpool,https://www.xscores.com/soccer/match/bournemouth-vs-liverpool/21-01-2024/2139622
2023/2024,22-01-2024,Brighton,Wolverhampton,https://www.xscores.com/soccer/match/brighton-vs-wolverhampton/22-01-2024/2139630
2023/2024,30-01-2024,Nottingham Forest,Arsenal,https://www.xscores.com/soccer/match/nottingham-forest-vs-arsenal/30-01-2024/2139640
2023/2024,30-01-2024,Fulham,Everton,https://www.xscores.com/soccer/match/fulham-vs-everton/30-01-2024/2139638
2023/2024,30-01-2024,Luton,Brighton,https://www.xscores.com/soccer/match/luton-vs-brighton/30-01-2024/2139637
2023/2024,30-01-2024,Crystal Palace,Sheffield United,https://www.xscores.com/soccer/match/crystal-palace-vs-sheffield-united/30-01-2024/2139633
2023/2024,30-01-2024,Aston Villa,Newcastle,https://www.xscores.com/soccer/match/aston-villa-vs-newcastle/30-01-2024/2139631
2023/2024,31-01-2024,Manchester City,Burnley,https://www.xscores.com/soccer/match/manchester-city-vs-burnley/31-01-2024/2139641
2023/2024,31-01-2024,Tottenham,Brentford,https://www.xscores.com/soccer/match/tottenham-vs-brentford/31-01-2024/2139636
2023/2024,31-01-2024,Liverpool,Chelsea,https://www.xscores.com/soccer/match/liverpool-vs-chelsea/31-01-2024/2139634
2023/2024,01-02-2024,WestHam,Bournemouth,https://www.xscores.com/soccer/match/west-ham-vs-bournemouth/01-02-2024/2139635
2023/2024,01-02-2024,Wolverhampton,Manchester United,https://www.xscores.com/soccer/match/wolverhampton-vs-manchester-united/01-02-2024/2139632
2023/2024,03-02-2024,Everton,Tottenham,https://www.xscores.com/soccer/match/everton-vs-tottenham/03-02-2024/2139654
2023/2024,03-02-2024,Brighton,Crystal Palace,https://www.xscores.com/soccer/match/brighton-vs-crystal-palace/03-02-2024/2139655
2023/2024,03-02-2024,Burnley,Fulham,https://www.xscores.com/soccer/match/burnley-vs-fulham/03-02-2024/2139645
2023/2024,03-02-2024,Newcastle,Luton,https://www.xscores.com/soccer/match/newcastle-vs-luton/03-02-2024/2139652
2023/2024,03-02-2024,Sheffield United,Aston Villa,https://www.xscores.com/soccer/match/sheffield-united-vs-aston-villa/03-02-2024/2139651
2023/2024,04-02-2024,Bournemouth,Nottingham Forest,https://www.xscores.com/soccer/match/bournemouth-vs-nottingham-forest/04-02-2024/2139642
