URL,Home Team,Away Team,date,Goal Type,Score,Player,Elapsed Time,Added Time
https://www.xscores.com/soccer/match/leeds-vs-west-ham/25-09-2021/319171,Leeds,West Ham,2021-09-25T15:00:00,Regular goal,1-0,Raphinha,19,0
https://www.xscores.com/soccer/match/leeds-vs-west-ham/25-09-2021/319171,Leeds,West Ham,2021-09-25T15:00:00,Own goal,1-1,Junior Firpo,67,0
https://www.xscores.com/soccer/match/leeds-vs-west-ham/25-09-2021/319171,Leeds,West Ham,2021-09-25T15:00:00,Regular goal,1-2,Michail Antonio,90,0
https://www.xscores.com/soccer/match/leicester-vs-burnley/25-09-2021/319172,Leicester,Burnley,2021-09-25T15:00:00,Own goal,0-1,Jamie Vardy,12,0
https://www.xscores.com/soccer/match/leicester-vs-burnley/25-09-2021/319172,Leicester,Burnley,2021-09-25T15:00:00,Regular goal,1-1,Jamie Vardy,37,0
https://www.xscores.com/soccer/match/leicester-vs-burnley/25-09-2021/319172,Leicester,Burnley,2021-09-25T15:00:00,Regular goal,1-2,Maxwel Cornet,40,0
https://www.xscores.com/soccer/match/leicester-vs-burnley/25-09-2021/319172,Leicester,Burnley,2021-09-25T15:00:00,Regular goal,2-2,Jamie Vardy,85,0
https://www.xscores.com/soccer/match/watford-vs-newcastle/25-09-2021/319175,Watford,Newcastle,2021-09-25T15:00:00,Regular goal,0-1,Sean Longstaff,23,0
https://www.xscores.com/soccer/match/watford-vs-newcastle/25-09-2021/319175,Watford,Newcastle,2021-09-25T15:00:00,Regular goal,1-1,Ismaila Sarr,72,0
https://www.xscores.com/soccer/match/brentford-vs-liverpool/25-09-2021/319167,Brentford,Liverpool,2021-09-25T17:30:00,Regular goal,1-0,Ethan Pinnock,27,0
https://www.xscores.com/soccer/match/brentford-vs-liverpool/25-09-2021/319167,Brentford,Liverpool,2021-09-25T17:30:00,Regular goal,1-1,Diogo Jota,31,0
https://www.xscores.com/soccer/match/brentford-vs-liverpool/25-09-2021/319167,Brentford,Liverpool,2021-09-25T17:30:00,Regular goal,1-2,Mohamed Salah,54,0
https://www.xscores.com/soccer/match/brentford-vs-liverpool/25-09-2021/319167,Brentford,Liverpool,2021-09-25T17:30:00,Regular goal,2-2,Vitaly Janelt,63,0
https://www.xscores.com/soccer/match/brentford-vs-liverpool/25-09-2021/319167,Brentford,Liverpool,2021-09-25T17:30:00,Regular goal,2-3,Curtis Jones,67,0
https://www.xscores.com/soccer/match/brentford-vs-liverpool/25-09-2021/319167,Brentford,Liverpool,2021-09-25T17:30:00,Regular goal,3-3,Yoane Wissa,82,0
https://www.xscores.com/soccer/match/southampton-vs-wolverhampton/26-09-2021/319174,Southampton,Wolverhampton,2021-09-26T14:00:00,Regular goal,0-1,Raul Jimenez,61,0
https://www.xscores.com/soccer/match/arsenal-vs-tottenham/26-09-2021/319166,Arsenal,Tottenham,2021-09-26T16:30:00,Regular goal,1-0,Emile Smith Rowe,12,0
https://www.xscores.com/soccer/match/arsenal-vs-tottenham/26-09-2021/319166,Arsenal,Tottenham,2021-09-26T16:30:00,Regular goal,2-0,Pierre-Emerick Aubameyang,27,0
https://www.xscores.com/soccer/match/arsenal-vs-tottenham/26-09-2021/319166,Arsenal,Tottenham,2021-09-26T16:30:00,Regular goal,3-0,Bukayo Saka,34,0
https://www.xscores.com/soccer/match/arsenal-vs-tottenham/26-09-2021/319166,Arsenal,Tottenham,2021-09-26T16:30:00,Regular goal,3-1,Heung-Min Son,79,0
https://www.xscores.com/soccer/match/crystal-palace-vs-brighton/27-09-2021/319169,Crystal Palace,Brighton,2021-09-27T20:00:00,Penalty,1-0,Wilfried Zaha,45,2
https://www.xscores.com/soccer/match/crystal-palace-vs-brighton/27-09-2021/319169,Crystal Palace,Brighton,2021-09-27T20:00:00,Regular goal,1-1,Neal Maupay,90,5
https://www.xscores.com/soccer/match/manchester-united-vs-everton/02-10-2021/319182,Manchester United,Everton,2021-10-02T12:30:00,Regular goal,1-0,Anthony Martial,43,0
https://www.xscores.com/soccer/match/manchester-united-vs-everton/02-10-2021/319182,Manchester United,Everton,2021-10-02T12:30:00,Regular goal,1-1,Andros Townsend,65,0
https://www.xscores.com/soccer/match/chelsea-vs-southampton/02-10-2021/319178,Chelsea,Southampton,2021-10-02T15:00:00,Regular goal,1-0,Trevoh Chalobah,9,0
https://www.xscores.com/soccer/match/chelsea-vs-southampton/02-10-2021/319178,Chelsea,Southampton,2021-10-02T15:00:00,Penalty,1-1,James Ward-Prowse,61,0
https://www.xscores.com/soccer/match/chelsea-vs-southampton/02-10-2021/319178,Chelsea,Southampton,2021-10-02T15:00:00,Regular goal,2-1,Timo Werner,84,0
https://www.xscores.com/soccer/match/chelsea-vs-southampton/02-10-2021/319178,Chelsea,Southampton,2021-10-02T15:00:00,Regular goal,3-1,Ben Chilwell,89,0
https://www.xscores.com/soccer/match/leeds-vs-watford/02-10-2021/319180,Leeds,Watford,2021-10-02T15:00:00,Regular goal,1-0,Diego Llorente,18,0
https://www.xscores.com/soccer/match/wolverhampton-vs-newcastle/02-10-2021/319185,Wolverhampton,Newcastle,2021-10-02T15:00:00,Regular goal,1-0,Hee-Chan Hwang,20,0
https://www.xscores.com/soccer/match/wolverhampton-vs-newcastle/02-10-2021/319185,Wolverhampton,Newcastle,2021-10-02T15:00:00,Regular goal,1-1,Jeff Hendrick,41,0
https://www.xscores.com/soccer/match/wolverhampton-vs-newcastle/02-10-2021/319185,Wolverhampton,Newcastle,2021-10-02T15:00:00,Regular goal,2-1,Hee-Chan Hwang,58,0
https://www.xscores.com/soccer/match/crystal-palace-vs-leicester/03-10-2021/319179,Crystal Palace,Leicester,2021-10-03T14:00:00,Regular goal,0-1,Kelechi Iheanacho,31,0
