season,date,home_team,away_team,url
1996/1997,1996-11-02T00:00:00,AFC Wimbledon,Arsenal,https://www.xscores.com/soccer/match/afc-wimbledon-vs-arsenal/02-11-1996/1596858
1996/1997,1996-11-02T00:00:00,Derby,Leicester,https://www.xscores.com/soccer/match/derby-vs-leicester/02-11-1996/1596853
1996/1997,1996-11-02T00:00:00,Leeds,Sunderland,https://www.xscores.com/soccer/match/leeds-vs-sunderland/02-11-1996/1596854
1996/1997,1996-11-02T00:00:00,Manchester United,Chelsea,https://www.xscores.com/soccer/match/manchester-united-vs-chelsea/02-11-1996/1596855
1996/1997,1996-11-02T00:00:00,Sheffield Wednesday,Southampton,https://www.xscores.com/soccer/match/sheffield-wednesday-vs-southampton/02-11-1996/1596856
1996/1997,1996-11-02T00:00:00,Tottenham,West Ham,https://www.xscores.com/soccer/match/tottenham-vs-west-ham/02-11-1996/1596857
1996/1997,1996-11-03T00:00:00,Blackburn,Liverpool,https://www.xscores.com/soccer/match/blackburn-vs-liverpool/03-11-1996/1596859
1996/1997,1996-11-03T00:00:00,Newcastle,Middlesbrough,https://www.xscores.com/soccer/match/newcastle-vs-middlesbrough/03-11-1996/1596860
1996/1997,1996-11-04T00:00:00,Everton,Coventry,https://www.xscores.com/soccer/match/everton-vs-coventry/04-11-1996/1596861
1996/1997,1996-11-16T00:00:00,Aston Villa,Leicester,https://www.xscores.com/soccer/match/aston-villa-vs-leicester/16-11-1996/1596862
1996/1997,1996-11-16T00:00:00,AFC Wimbledon,Coventry,https://www.xscores.com/soccer/match/afc-wimbledon-vs-coventry/16-11-1996/1596869
1996/1997,1996-11-16T00:00:00,Blackburn,Chelsea,https://www.xscores.com/soccer/match/blackburn-vs-chelsea/16-11-1996/1596863
1996/1997,1996-11-16T00:00:00,Everton,Southampton,https://www.xscores.com/soccer/match/everton-vs-southampton/16-11-1996/1596864
1996/1997,1996-11-16T00:00:00,Leeds,Liverpool,https://www.xscores.com/soccer/match/leeds-vs-liverpool/16-11-1996/1596865
1996/1997,1996-11-16T00:00:00,Manchester United,Arsenal,https://www.xscores.com/soccer/match/manchester-united-vs-arsenal/16-11-1996/1596866
1996/1997,1996-11-16T00:00:00,Newcastle,West Ham,https://www.xscores.com/soccer/match/newcastle-vs-west-ham/16-11-1996/1596867
1996/1997,1996-11-16T00:00:00,Tottenham,Sunderland,https://www.xscores.com/soccer/match/tottenham-vs-sunderland/16-11-1996/1596868
1996/1997,1996-11-17T00:00:00,Derby,Middlesbrough,https://www.xscores.com/soccer/match/derby-vs-middlesbrough/17-11-1996/1596870
1996/1997,1996-11-18T00:00:00,Sheffield Wednesday,Nottingham Forest,https://www.xscores.com/soccer/match/sheffield-wednesday-vs-nottingham-forest/18-11-1996/1596871
1996/1997,1996-11-20T00:00:00,Liverpool,Everton,https://www.xscores.com/soccer/match/liverpool-vs-everton/20-11-1996/1596872
1996/1997,1996-11-23T00:00:00,Chelsea,Newcastle,https://www.xscores.com/soccer/match/chelsea-vs-newcastle/23-11-1996/1596873
1996/1997,1996-11-23T00:00:00,Coventry,Aston Villa,https://www.xscores.com/soccer/match/coventry-vs-aston-villa/23-11-1996/1596874
1996/1997,1996-11-23T00:00:00,Leicester,Everton,https://www.xscores.com/soccer/match/leicester-vs-everton/23-11-1996/1596875
1996/1997,1996-11-23T00:00:00,Liverpool,AFC Wimbledon,https://www.xscores.com/soccer/match/liverpool-vs-afc-wimbledon/23-11-1996/1596876
1996/1997,1996-11-23T00:00:00,Middlesbrough,Manchester United,https://www.xscores.com/soccer/match/middlesbrough-vs-manchester-united/23-11-1996/1596877
1996/1997,1996-11-23T00:00:00,Southampton,Leeds,https://www.xscores.com/soccer/match/southampton-vs-leeds/23-11-1996/1596878
1996/1997,1996-11-23T00:00:00,Sunderland,Sheffield Wednesday,https://www.xscores.com/soccer/match/sunderland-vs-sheffield-wednesday/23-11-1996/1596879
1996/1997,1996-11-23T00:00:00,West Ham,Derby,https://www.xscores.com/soccer/match/west-ham-vs-derby/23-11-1996/1596880
1996/1997,1996-11-24T00:00:00,Arsenal,Tottenham,https://www.xscores.com/soccer/match/arsenal-vs-tottenham/24-11-1996/1596881
1996/1997,1996-11-25T00:00:00,Nottingham Forest,Blackburn,https://www.xscores.com/soccer/match/nottingham-forest-vs-blackburn/25-11-1996/1596882
1996/1997,1996-11-30T00:00:00,AFC Wimbledon,Nottingham Forest,https://www.xscores.com/soccer/match/afc-wimbledon-vs-nottingham-forest/30-11-1996/1596890
1996/1997,1996-11-30T00:00:00,Aston Villa,Middlesbrough,https://www.xscores.com/soccer/match/aston-villa-vs-middlesbrough/30-11-1996/1596883
1996/1997,1996-11-30T00:00:00,Blackburn,Southampton,https://www.xscores.com/soccer/match/blackburn-vs-southampton/30-11-1996/1596884
1996/1997,1996-11-30T00:00:00,Derby,Coventry,https://www.xscores.com/soccer/match/derby-vs-coventry/30-11-1996/1596885
1996/1997,1996-11-30T00:00:00,Everton,Sunderland,https://www.xscores.com/soccer/match/everton-vs-sunderland/30-11-1996/1596886
1996/1997,1996-11-30T00:00:00,Manchester United,Leicester,https://www.xscores.com/soccer/match/manchester-united-vs-leicester/30-11-1996/1596887
1996/1997,1996-11-30T00:00:00,Newcastle,Arsenal,https://www.xscores.com/soccer/match/newcastle-vs-arsenal/30-11-1996/1596888
1996/1997,1996-11-30T00:00:00,Sheffield Wednesday,West Ham,https://www.xscores.com/soccer/match/sheffield-wednesday-vs-west-ham/30-11-1996/1596889
1996/1997,1996-12-01T00:00:00,Leeds,Chelsea,https://www.xscores.com/soccer/match/leeds-vs-chelsea/01-12-1996/1596891
1996/1997,1996-12-02T00:00:00,Tottenham,Liverpool,https://www.xscores.com/soccer/match/tottenham-vs-liverpool/02-12-1996/1596892
1996/1997,1996-12-03T00:00:00,Middlesbrough,Leicester,https://www.xscores.com/soccer/match/middlesbrough-vs-leicester/03-12-1996/1596893
1996/1997,1996-12-04T00:00:00,Arsenal,Southampton,https://www.xscores.com/soccer/match/arsenal-vs-southampton/04-12-1996/1596894
1996/1997,1996-12-04T00:00:00,West Ham,Aston Villa,https://www.xscores.com/soccer/match/west-ham-vs-aston-villa/04-12-1996/1596895
1996/1997,1996-12-07T00:00:00,Arsenal,Derby,https://www.xscores.com/soccer/match/arsenal-vs-derby/07-12-1996/1596896
1996/1997,1996-12-07T00:00:00,Chelsea,Everton,https://www.xscores.com/soccer/match/chelsea-vs-everton/07-12-1996/1596897
1996/1997,1996-12-07T00:00:00,Coventry,Tottenham,https://www.xscores.com/soccer/match/coventry-vs-tottenham/07-12-1996/1596898
1996/1997,1996-12-07T00:00:00,Leicester,Blackburn,https://www.xscores.com/soccer/match/leicester-vs-blackburn/07-12-1996/1596899
1996/1997,1996-12-07T00:00:00,Liverpool,Sheffield Wednesday,https://www.xscores.com/soccer/match/liverpool-vs-sheffield-wednesday/07-12-1996/1596900
1996/1997,1996-12-07T00:00:00,Middlesbrough,Leeds,https://www.xscores.com/soccer/match/middlesbrough-vs-leeds/07-12-1996/1596901
1996/1997,1996-12-07T00:00:00,Southampton,Aston Villa,https://www.xscores.com/soccer/match/southampton-vs-aston-villa/07-12-1996/1596902
