URL,Goal Type,Score,Player,Elapsed Time,Added Time
https://www.xscores.com/soccer/match/bournemouth-vs-arsenal/30-09-2023/2139480,Penalty,0-2,Martin Oedegaard,44,0
https://www.xscores.com/soccer/match/bournemouth-vs-arsenal/30-09-2023/2139480,Penalty,0-3,Kai Havertz,53,0
https://www.xscores.com/soccer/match/bournemouth-vs-arsenal/30-09-2023/2139480,Regular goal,0-4,Ben White,90,3
https://www.xscores.com/soccer/match/everton-vs-luton/30-09-2023/2139478,Regular goal,0-1,Tom Lockyer,24,0
https://www.xscores.com/soccer/match/everton-vs-luton/30-09-2023/2139478,Regular goal,0-2,Carlton Morris,31,0
https://www.xscores.com/soccer/match/everton-vs-luton/30-09-2023/2139478,Regular goal,1-2,Dominic Calvert-Lewin,41,0
https://www.xscores.com/soccer/match/manchester-united-vs-crystal-palace/30-09-2023/2139495,Regular goal,0-1,Joachim Andersen,25,0
https://www.xscores.com/soccer/match/newcastle-vs-burnley/30-09-2023/2139496,Regular goal,1-0,Miguel Almiron,14,0
https://www.xscores.com/soccer/match/newcastle-vs-burnley/30-09-2023/2139496,Penalty,2-0,Alexander Isak,76,0
https://www.xscores.com/soccer/match/west-ham-vs-sheffield-united/30-09-2023/2139499,Regular goal,1-0,Jarrod Bowen,24,0
https://www.xscores.com/soccer/match/west-ham-vs-sheffield-united/30-09-2023/2139499,Regular goal,2-0,Tomas Soucek,37,0
https://www.xscores.com/soccer/match/wolverhampton-vs-manchester-city/30-09-2023/2139500,Own goal,1-0,Ruben Dias,13,0
https://www.xscores.com/soccer/match/wolverhampton-vs-manchester-city/30-09-2023/2139500,Regular goal,1-1,Julian Alvarez,58,0
https://www.xscores.com/soccer/match/wolverhampton-vs-manchester-city/30-09-2023/2139500,Regular goal,2-1,Hee-Chan Hwang,66,0
https://www.xscores.com/soccer/match/tottenham-vs-liverpool/30-09-2023/2139498,Regular goal,1-0,Heung-Min Son,36,0
https://www.xscores.com/soccer/match/tottenham-vs-liverpool/30-09-2023/2139498,Regular goal,1-1,Cody Gakpo,45,4
https://www.xscores.com/soccer/match/tottenham-vs-liverpool/30-09-2023/2139498,Own goal,2-1,Joel Matip,90,6
https://www.xscores.com/soccer/match/nottingham-forest-vs-brentford/01-10-2023/2139497,Regular goal,0-1,Christian Noergaard,58,0
https://www.xscores.com/soccer/match/nottingham-forest-vs-brentford/01-10-2023/2139497,Regular goal,1-1,Nicolas Dominguez,65,0
https://www.xscores.com/soccer/match/fulham-vs-chelsea/02-10-2023/2139477,Regular goal,0-1,Mykhaylo Mudryk,18,0
https://www.xscores.com/soccer/match/fulham-vs-chelsea/02-10-2023/2139477,Regular goal,0-2,Armando Broja,19,0
https://www.xscores.com/soccer/match/luton-vs-tottenham/07-10-2023/2139489,Regular goal,0-1,Micky van de Ven,52,0
https://www.xscores.com/soccer/match/burnley-vs-chelsea/07-10-2023/2139492,Regular goal,1-0,Wilson Odobert,15,0
https://www.xscores.com/soccer/match/burnley-vs-chelsea/07-10-2023/2139492,Own goal,1-1,Ameen Al Dakhil,42,0
https://www.xscores.com/soccer/match/burnley-vs-chelsea/07-10-2023/2139492,Penalty,1-2,Cole Palmer,50,0
https://www.xscores.com/soccer/match/burnley-vs-chelsea/07-10-2023/2139492,Regular goal,1-3,Raheem Sterling,65,0
